#(id,from,to,speed,planTime)
(29555, 196, 7, 16, 24)
(92728, 870, 1230, 10, 35)
(63891, 181, 801, 12, 30)
(82621, 1547, 1957, 4, 42)
(14296, 449, 1289, 16, 35)
(95325, 1077, 1957, 8, 37)
(21443, 1697, 1766, 10, 33)
(21676, 404, 1704, 16, 18)
(73666, 1293, 1876, 12, 1)
(44396, 251, 759, 4, 33)
(56733, 181, 801, 6, 10)
(89686, 1628, 1586, 6, 8)
(54455, 942, 534, 4, 19)
(95905, 1177, 1319, 14, 10)
(73220, 1837, 404, 12, 23)
(89298, 205, 1319, 6, 33)
(29533, 1273, 224, 10, 1)
(34107, 181, 25, 16, 22)
(95021, 718, 1638, 10, 16)
(84438, 96, 92, 14, 36)
(71156, 1197, 1721, 10, 2)
(106317, 491, 49, 4, 34)
(70074, 870, 759, 16, 31)
(60801, 540, 100, 8, 45)
(43874, 1556, 153, 4, 31)
(82940, 698, 1687, 6, 47)
(91706, 698, 1157, 16, 15)
(52148, 759, 49, 8, 34)
(70926, 983, 588, 10, 40)
(90343, 1197, 658, 12, 1)
(14275, 1230, 1796, 16, 39)
(78091, 1628, 100, 4, 1)
(32727, 391, 49, 16, 33)
(34366, 811, 1157, 16, 47)
(101433, 1177, 1197, 12, 34)
(27228, 658, 384, 6, 26)
(90207, 1214, 534, 14, 29)
(77015, 1077, 535, 4, 7)
(74133, 1689, 49, 6, 4)
(80183, 1076, 1177, 12, 44)
(19482, 811, 7, 4, 29)
(47402, 1795, 1855, 10, 14)
(24785, 472, 859, 14, 20)
(35421, 1991, 1687, 14, 40)
(81499, 718, 870, 12, 2)
(35070, 330, 1023, 6, 42)
(63556, 181, 534, 12, 33)
(79480, 1761, 1229, 10, 48)
(49186, 1227, 136, 16, 14)
(15477, 153, 1704, 6, 4)
(78724, 451, 1704, 8, 41)
(19686, 1273, 136, 14, 11)
(49714, 181, 25, 14, 19)
(26529, 1260, 1319, 12, 16)
(63189, 224, 1070, 8, 40)
(104639, 1214, 534, 8, 4)
(96491, 870, 759, 8, 23)
(63993, 1121, 1334, 12, 48)
(59898, 302, 1289, 8, 5)
(45889, 1459, 1334, 6, 44)
(65265, 1628, 100, 14, 8)
(39244, 1338, 1793, 8, 9)
(79895, 599, 1070, 8, 28)
(43261, 1957, 449, 10, 25)
(92162, 1260, 1076, 8, 32)
(62724, 599, 1023, 14, 3)
(22674, 260, 1766, 8, 29)
(90569, 404, 1816, 6, 42)
(51101, 1796, 1121, 10, 10)
(16372, 1803, 96, 16, 15)
(93975, 105, 1957, 8, 3)
(35240, 1803, 1876, 4, 22)
(40754, 1949, 327, 16, 9)
(71164, 92, 404, 12, 6)
(99031, 1951, 463, 4, 34)
(16509, 1547, 1793, 12, 44)
(65150, 1592, 771, 4, 15)
(85806, 942, 1446, 8, 7)
(11302, 7, 840, 16, 39)
(39961, 1314, 1334, 12, 14)
(21440, 302, 1043, 8, 3)
(72198, 607, 771, 16, 1)
(105043, 1638, 1793, 6, 38)
(53126, 1687, 234, 6, 22)
(103931, 1456, 1704, 4, 3)
(94270, 1811, 1319, 16, 17)
(97220, 49, 1315, 8, 38)
(59762, 1796, 718, 16, 41)
(61165, 1689, 463, 6, 14)
(19221, 451, 92, 6, 44)
(58961, 1539, 1957, 12, 6)
(59880, 810, 1314, 10, 46)
(100660, 1229, 1319, 14, 21)
(69983, 1809, 1331, 16, 47)
(39416, 839, 771, 10, 41)
(54152, 1704, 1795, 12, 47)
(77452, 599, 1023, 10, 10)
(51254, 1539, 1289, 14, 21)
(50957, 1352, 1687, 4, 5)
(46273, 1140, 234, 10, 33)
(45820, 1299, 698, 8, 6)
(87754, 7, 505, 12, 6)
(38922, 1054, 136, 10, 45)
(70053, 954, 1157, 14, 12)
(99648, 1766, 1721, 10, 28)
(27468, 718, 96, 6, 10)
(80940, 1315, 449, 6, 42)
(39737, 1547, 1957, 12, 25)
(56758, 788, 718, 14, 41)
(47534, 1217, 49, 6, 2)
(35259, 1697, 339, 6, 45)
(36361, 1456, 136, 10, 39)
(93441, 588, 1230, 14, 21)
(17670, 1937, 1070, 4, 27)
(57823, 491, 463, 12, 24)
(24972, 1366, 339, 6, 14)
(74614, 1704, 363, 16, 19)
(77111, 819, 136, 8, 19)
(67692, 1795, 535, 4, 19)
(99704, 491, 96, 4, 36)
(58848, 1002, 1704, 6, 15)
(89312, 244, 384, 12, 12)
(39152, 1831, 718, 14, 16)
(87667, 234, 1446, 4, 23)
(22839, 92, 1809, 8, 16)
(36728, 517, 1957, 16, 27)
(74841, 1366, 1319, 12, 10)
(60048, 28, 1070, 4, 26)
(30454, 1495, 404, 8, 9)
(54671, 384, 25, 8, 45)
(70249, 315, 1023, 6, 32)
(43113, 819, 136, 6, 8)
(91118, 1459, 1334, 4, 46)
(47514, 482, 1949, 12, 43)
(94038, 1626, 996, 8, 49)
(19785, 175, 771, 10, 26)
(107852, 1704, 1796, 10, 25)
(31157, 1937, 1334, 14, 12)
(62286, 1547, 718, 16, 8)
(21509, 327, 859, 4, 18)
(49298, 174, 771, 16, 7)
(95083, 1318, 1765, 16, 15)
(43146, 234, 174, 6, 3)
(53758, 1439, 174, 6, 17)
(49834, 819, 1502, 12, 30)
(38238, 1831, 1793, 8, 34)
(74286, 1765, 1186, 4, 21)
(94637, 1433, 771, 4, 21)
(62292, 224, 49, 12, 29)
(88757, 234, 658, 16, 37)
(93889, 1876, 224, 8, 3)
(49173, 327, 1592, 12, 18)
(43007, 451, 1816, 8, 17)
(93950, 260, 771, 16, 13)
(92284, 718, 788, 6, 39)
(12858, 205, 1319, 8, 25)
(46894, 1545, 49, 14, 8)
(46317, 788, 718, 6, 7)
(49378, 182, 1157, 8, 28)
(23619, 1767, 1687, 10, 12)
(102379, 1338, 1957, 10, 40)
(20173, 942, 996, 12, 42)
(38578, 92, 1227, 14, 43)
(12839, 1678, 7, 4, 12)
(67777, 1140, 339, 12, 43)
(58599, 136, 1796, 16, 37)
(37430, 840, 658, 12, 33)
(84037, 810, 1230, 4, 44)
(45815, 1319, 1811, 4, 24)
(40031, 678, 588, 16, 37)
(14385, 1502, 1334, 16, 4)
(105827, 384, 1299, 10, 26)
(25620, 759, 1796, 14, 9)
(41712, 363, 136, 16, 14)
(95465, 540, 698, 8, 18)
(33039, 1177, 182, 8, 1)
(13902, 205, 1319, 6, 46)
(40036, 1697, 234, 10, 37)
(71125, 870, 1289, 4, 24)
(38580, 234, 801, 10, 29)
(40051, 713, 1023, 14, 14)
(29284, 1186, 1765, 12, 1)
(32292, 1697, 384, 14, 38)
(16065, 1678, 7, 14, 45)
(55524, 1299, 1991, 16, 40)
(22627, 7, 1319, 6, 46)
(62702, 1214, 7, 6, 41)
(57120, 1318, 327, 10, 28)
(100549, 1592, 1197, 12, 23)
(28758, 1811, 505, 8, 20)
(84205, 1043, 105, 12, 4)
(88730, 224, 1334, 6, 20)
(69897, 173, 1766, 16, 14)
(46969, 983, 1334, 8, 36)
(17090, 1704, 1334, 16, 9)
(45347, 996, 698, 10, 38)
(89944, 1076, 7, 16, 12)
(102755, 852, 1556, 12, 18)
(38411, 1433, 1765, 16, 27)
(75699, 1796, 1957, 14, 6)
(79930, 294, 718, 10, 17)
(27616, 599, 1023, 14, 21)
(58005, 1846, 1502, 6, 24)
(80915, 1687, 1766, 12, 22)
(97861, 1545, 49, 4, 42)
(104119, 1217, 1334, 12, 12)
(19381, 244, 1319, 12, 11)
(19972, 1803, 49, 6, 23)
(88818, 718, 870, 14, 19)
(50361, 607, 1319, 8, 38)
(51977, 1689, 1686, 10, 21)
(30887, 517, 535, 12, 24)
(101154, 540, 339, 14, 44)
(34839, 1837, 870, 10, 27)
(98496, 1949, 771, 10, 19)
(102882, 1331, 302, 12, 36)
(38123, 1687, 1991, 10, 42)
(92710, 665, 1269, 10, 15)
(95812, 1761, 1140, 14, 22)
(97646, 173, 840, 10, 18)
(95881, 1951, 1023, 10, 4)
(91691, 607, 771, 16, 3)
(26524, 1796, 1121, 16, 42)
(30959, 363, 1957, 6, 45)
(30220, 451, 1957, 14, 45)
(92540, 1833, 1230, 16, 30)
(61069, 1319, 244, 16, 19)
(88331, 43, 384, 8, 19)
(58995, 713, 1023, 14, 49)
(50132, 1334, 1816, 10, 1)
(106107, 173, 505, 16, 36)
(39470, 1157, 1541, 10, 12)
(88566, 173, 840, 6, 10)
(93241, 996, 1761, 6, 43)
(76661, 1837, 96, 6, 12)
(94383, 49, 1689, 4, 7)
(75859, 1121, 1273, 6, 7)
(36171, 449, 1953, 16, 18)
(18779, 534, 181, 12, 7)
(108200, 859, 234, 16, 36)
(29068, 698, 7, 8, 44)
(71083, 302, 535, 14, 23)
(62086, 1076, 1177, 12, 44)
(105308, 1177, 771, 4, 13)
(33284, 1502, 1338, 14, 43)
(78816, 1495, 1334, 8, 5)
(79067, 1697, 1541, 16, 45)
(46657, 1761, 43, 12, 39)
(13249, 1592, 505, 8, 10)
(99244, 535, 302, 12, 39)
(36895, 1338, 718, 14, 13)
(100068, 840, 173, 10, 42)
(30992, 1433, 771, 16, 4)
(17732, 1846, 1502, 8, 36)
(95308, 1495, 404, 8, 13)
(108237, 1626, 801, 14, 31)
(25816, 1991, 7, 14, 44)
(26963, 658, 1439, 14, 48)
(22500, 1765, 1811, 10, 18)
(21622, 1352, 658, 4, 40)
(23417, 759, 1796, 16, 33)
(106480, 1628, 1586, 4, 17)
(37947, 801, 234, 12, 10)
(40991, 1157, 1561, 6, 40)
(67708, 1991, 1260, 8, 6)
(107481, 810, 1331, 14, 23)
(14785, 1043, 1023, 14, 36)
(44890, 1197, 1269, 16, 35)
(109467, 1686, 1957, 10, 49)
(12099, 1876, 136, 4, 41)
(16674, 1556, 1686, 16, 15)
(84958, 1299, 327, 10, 22)
(85805, 260, 1765, 4, 31)
(24415, 196, 7, 4, 13)
(66258, 1991, 1721, 14, 48)
(53705, 1002, 1704, 14, 40)
(89971, 713, 1023, 12, 15)
(95907, 136, 96, 4, 33)
(49899, 1121, 1876, 16, 9)
(68302, 1811, 505, 8, 10)
(79832, 713, 1023, 12, 24)
(47521, 1765, 1186, 10, 33)
(54785, 1077, 1704, 10, 11)
(70794, 224, 1833, 6, 34)
(24947, 996, 1214, 10, 42)
(108522, 92, 449, 4, 5)
(53872, 1953, 153, 12, 16)
(91886, 713, 1023, 6, 11)
(101143, 1334, 1953, 6, 39)
(23821, 1002, 1957, 6, 42)
(75160, 500, 1957, 4, 40)
(17100, 1157, 1352, 16, 25)
(28159, 182, 1697, 12, 43)
(63746, 1269, 1767, 16, 41)
(61885, 1366, 384, 6, 41)
(96870, 1077, 1957, 14, 17)
(108298, 451, 1289, 16, 28)
(106931, 796, 1446, 8, 34)
(104884, 1570, 7, 4, 11)
(77063, 1366, 339, 4, 43)
(98921, 451, 1816, 16, 6)
(19517, 796, 801, 12, 12)
(106201, 1459, 1023, 16, 8)
(57239, 852, 1289, 6, 7)
(83764, 1570, 1446, 16, 23)
(49749, 839, 1319, 16, 18)
(103672, 1456, 1816, 12, 45)
(89035, 1561, 7, 16, 24)
(96031, 1140, 234, 14, 21)
(106794, 1951, 1023, 12, 7)
(27833, 810, 1855, 14, 39)
(33353, 689, 100, 10, 23)
(90147, 1953, 153, 14, 47)
(69093, 505, 801, 6, 18)
(56604, 391, 1686, 6, 12)
(12087, 1539, 1704, 14, 31)
(73839, 1334, 718, 4, 1)
(33415, 404, 1289, 12, 6)
(67082, 954, 1318, 14, 4)
(83173, 229, 1439, 6, 42)
(68513, 330, 1023, 6, 18)
(42286, 1689, 463, 4, 7)
(93264, 1628, 1586, 14, 3)
(77572, 1766, 260, 4, 44)
(71413, 996, 1003, 10, 25)
(20919, 505, 229, 16, 16)
(20835, 1766, 1177, 12, 45)
(22942, 1003, 1446, 10, 6)
(57407, 1628, 1319, 4, 25)
(109678, 1793, 404, 4, 34)
(106521, 1543, 7, 16, 4)
(75226, 1293, 588, 12, 32)
(14840, 416, 404, 12, 7)
(100251, 491, 1334, 14, 9)
(90322, 205, 1319, 8, 40)
(40889, 594, 339, 12, 20)
(54931, 1689, 1023, 6, 7)
(10235, 678, 1334, 8, 43)
(92001, 1077, 1704, 4, 24)
(63444, 1157, 1570, 12, 7)
(45359, 315, 1023, 16, 26)
(13996, 1217, 1023, 6, 12)
(94537, 260, 771, 16, 13)
(84895, 1319, 869, 6, 48)
(19057, 92, 1809, 16, 21)
(88720, 244, 1319, 14, 10)
(83815, 1273, 1793, 16, 24)
(108812, 1796, 1502, 14, 27)
(58907, 599, 1070, 16, 34)
(80489, 96, 1315, 6, 19)
(26036, 1586, 996, 14, 34)
(56283, 1459, 1023, 14, 45)
(46424, 665, 7, 16, 37)
(59626, 1547, 718, 10, 21)
(101880, 1439, 174, 10, 26)
(31051, 327, 658, 14, 14)
(19608, 337, 1023, 16, 33)
(61618, 1809, 1816, 10, 7)
(58987, 788, 1793, 14, 9)
(98527, 869, 384, 12, 34)
(92022, 932, 1502, 14, 24)
(83002, 1678, 7, 16, 23)
(103310, 870, 1957, 16, 26)
(92624, 49, 1217, 10, 46)
(29830, 607, 771, 16, 10)
(49211, 451, 1793, 8, 9)
(14945, 28, 49, 10, 17)
(68958, 840, 1721, 16, 42)
(15244, 1765, 1433, 4, 6)
(20770, 1846, 718, 16, 29)
(61049, 1539, 1957, 10, 49)
(60954, 136, 1338, 16, 35)
(17759, 1318, 954, 16, 3)
(38209, 49, 983, 6, 44)
(84248, 1273, 718, 14, 16)
(87638, 92, 449, 4, 19)
(76865, 942, 7, 12, 20)
(63219, 1761, 1446, 16, 24)
(74409, 689, 100, 14, 4)
(54048, 1197, 1157, 14, 13)
(67132, 182, 1157, 8, 9)
(25249, 1795, 1957, 10, 3)
(99947, 1846, 1957, 10, 38)
(79599, 1314, 810, 10, 17)
(53716, 1811, 1765, 12, 7)
(102766, 599, 1334, 14, 38)
(104696, 100, 33, 8, 8)
(32872, 391, 463, 8, 22)
(60622, 607, 1319, 12, 36)
(40429, 839, 327, 12, 33)
(66302, 840, 173, 12, 26)
(63340, 1809, 535, 16, 45)
(72648, 1561, 174, 14, 36)
(65221, 607, 1319, 12, 1)
(77349, 819, 1502, 4, 43)
(22233, 1456, 1704, 10, 4)
(59058, 1638, 1502, 4, 47)
(39196, 1446, 1295, 14, 21)
(13262, 1331, 870, 14, 38)
(40193, 618, 1157, 8, 17)
(30332, 49, 535, 8, 8)
(77526, 1439, 1687, 12, 42)
(79740, 500, 1957, 12, 44)
(14617, 759, 1070, 8, 12)
(45477, 1318, 384, 16, 36)
(50036, 28, 1023, 16, 43)
(75896, 449, 1289, 4, 40)
(12856, 472, 1446, 14, 35)
(87123, 205, 1319, 12, 33)
(40392, 1721, 771, 6, 24)
(90626, 302, 1704, 12, 44)
(85987, 96, 1495, 12, 46)
(101551, 100, 25, 6, 24)
(60396, 839, 384, 10, 29)
(84231, 205, 1319, 6, 37)
(106188, 391, 49, 4, 12)
(99753, 25, 1586, 4, 28)
(71746, 618, 1157, 8, 43)
(44214, 1273, 1793, 14, 32)
(33293, 25, 100, 8, 11)
(33782, 136, 1334, 8, 37)
(89186, 1543, 1260, 16, 22)
(45676, 96, 678, 10, 6)
(48358, 954, 1687, 8, 49)
(38515, 1937, 1796, 4, 4)
(77732, 500, 1957, 16, 20)
(17131, 1570, 1446, 8, 24)
(13365, 1951, 1023, 10, 32)
(69764, 449, 1953, 16, 46)
(27465, 796, 1446, 8, 45)
(88993, 1140, 1003, 10, 39)
(103956, 1502, 1334, 8, 14)
(59117, 801, 771, 16, 41)
(95530, 801, 1295, 16, 37)
(51594, 384, 175, 10, 29)
(80089, 339, 534, 8, 2)
(79902, 839, 1319, 16, 28)
(87363, 983, 1334, 6, 17)
(95151, 678, 810, 12, 14)
(66724, 1991, 1687, 6, 39)
(56068, 205, 1319, 12, 9)
(81454, 1315, 1023, 6, 28)
(56243, 1003, 7, 14, 42)
(27361, 49, 1331, 16, 19)
(24318, 482, 1269, 8, 41)
(87984, 1761, 7, 10, 38)
(16336, 618, 1721, 12, 9)
(15178, 363, 1793, 8, 20)
(46190, 451, 1289, 8, 24)
(54963, 1793, 404, 12, 18)
(80921, 43, 1586, 12, 19)
(45254, 1214, 1697, 16, 22)
(66436, 1953, 404, 6, 22)
(62841, 517, 1289, 16, 11)
(51944, 1495, 96, 16, 18)
(63399, 1638, 718, 14, 29)
(26686, 811, 7, 14, 4)
(67711, 1140, 1214, 14, 43)
(79336, 1319, 801, 10, 39)
(58098, 1811, 1319, 12, 24)
(35613, 942, 7, 10, 24)
(39694, 244, 384, 6, 40)
(34388, 1077, 1289, 6, 35)
(88930, 451, 1289, 14, 8)
(73518, 339, 594, 14, 7)
(35663, 174, 1561, 16, 2)
(77300, 260, 1765, 10, 48)
(11755, 33, 1197, 16, 43)
(55666, 819, 718, 10, 26)
(35756, 1459, 1876, 12, 3)
(76662, 472, 7, 14, 43)
(82402, 859, 234, 14, 46)
(61226, 1556, 463, 16, 2)
(24624, 1054, 718, 14, 43)
(37061, 588, 1855, 10, 27)
(85326, 28, 1023, 8, 23)
(29578, 1186, 1319, 10, 16)
(52379, 1318, 771, 6, 34)
(30134, 932, 136, 16, 21)
(29620, 535, 852, 14, 18)
(93586, 1678, 7, 14, 22)
(107525, 1502, 1273, 16, 28)
(48284, 983, 1334, 16, 33)
(21038, 33, 1197, 16, 8)
(20605, 1539, 1957, 8, 45)
(11718, 327, 1721, 10, 22)
(78438, 175, 1197, 14, 5)
(41262, 839, 327, 10, 7)
(99852, 1157, 384, 14, 36)
(31904, 1547, 718, 16, 23)
(84395, 1796, 315, 14, 47)
(105893, 1077, 1704, 12, 19)
(69887, 391, 1686, 16, 48)
(102028, 327, 540, 4, 26)
(99445, 472, 859, 14, 39)
(82066, 1689, 463, 16, 3)
(43727, 1338, 1502, 10, 16)
(92106, 1541, 229, 14, 43)
(46526, 182, 229, 4, 12)
(24734, 1334, 599, 12, 33)
(76551, 229, 482, 16, 34)
(57336, 1338, 1230, 12, 25)
(83805, 1446, 1352, 12, 23)
(71787, 1334, 136, 6, 46)
(95932, 1352, 229, 16, 24)
(74800, 801, 1319, 12, 6)
(77344, 1289, 1023, 6, 29)
(18479, 136, 1334, 10, 22)
(63330, 594, 505, 12, 18)
(28256, 801, 1214, 16, 17)
(62001, 1217, 96, 6, 19)
(23540, 1495, 588, 8, 11)
(46037, 1628, 1586, 10, 43)
(79423, 665, 859, 10, 2)
(80894, 1121, 1334, 10, 42)
(103901, 136, 1273, 4, 27)
(19377, 1809, 136, 16, 1)
(99479, 1539, 1289, 14, 2)
(42088, 391, 404, 12, 29)
(32825, 384, 1592, 12, 9)
(18979, 7, 339, 16, 33)
(81767, 1795, 1289, 8, 34)
(109855, 788, 1855, 4, 36)
(106299, 302, 1816, 14, 13)
(91177, 1140, 482, 8, 27)
(65502, 1957, 810, 6, 24)
(92003, 100, 1140, 6, 17)
(11742, 535, 463, 16, 16)
(108784, 1495, 1833, 8, 35)
(37747, 1273, 1957, 8, 22)
(17110, 1295, 7, 12, 18)
(45147, 1721, 327, 6, 44)
(77987, 49, 1502, 8, 17)
(19668, 43, 1761, 6, 46)
(82691, 1803, 1334, 12, 34)
(25206, 1157, 234, 6, 8)
(43878, 196, 1260, 8, 24)
(26715, 205, 1319, 12, 20)
(60703, 49, 1816, 6, 20)
(106906, 315, 251, 10, 6)
(23046, 852, 1704, 16, 18)
(34612, 251, 759, 12, 23)
(87718, 337, 105, 16, 17)
(104227, 136, 1876, 12, 13)
(54328, 1197, 1177, 8, 34)
(19324, 588, 1289, 12, 49)
(13561, 224, 49, 16, 3)
(105082, 500, 1957, 6, 3)
(38751, 996, 1586, 16, 44)
(45108, 1678, 7, 14, 12)
(107338, 1043, 1334, 10, 29)
(102080, 534, 339, 16, 43)
(79873, 534, 1586, 16, 36)
(95194, 33, 327, 14, 32)
(59680, 759, 251, 14, 33)
(108780, 983, 1334, 8, 36)
(34568, 416, 1023, 4, 3)
(17461, 49, 1704, 4, 3)
(79277, 182, 1177, 6, 35)
(52924, 1177, 1003, 10, 7)
(76116, 449, 535, 6, 12)
(74191, 1543, 1687, 10, 8)
(48265, 1811, 1319, 16, 2)
(88980, 1953, 404, 10, 4)
(107407, 1121, 1334, 8, 31)
(43355, 1260, 1076, 6, 22)
(86201, 482, 801, 16, 5)
(62725, 1214, 7, 16, 1)
(37752, 7, 954, 12, 23)
(12851, 96, 1331, 4, 46)
(38554, 181, 859, 10, 45)
(18103, 1319, 1140, 10, 38)
(16386, 1793, 1831, 16, 40)
(61117, 1299, 234, 16, 23)
(60087, 181, 1177, 6, 37)
(71553, 1495, 1833, 10, 21)
(90852, 1686, 1816, 8, 14)
(10038, 852, 1957, 8, 7)
(61111, 330, 1334, 10, 34)
(28808, 839, 1319, 14, 43)
(68164, 1586, 1628, 10, 19)
(73768, 658, 1319, 16, 4)
(56788, 689, 100, 4, 22)
(100028, 153, 1556, 10, 25)
(72780, 500, 1957, 16, 19)
(97584, 1953, 105, 16, 12)
(47207, 391, 49, 12, 39)
(107069, 416, 463, 6, 22)
(49349, 1545, 49, 10, 31)
(38724, 1314, 1070, 6, 14)
(78080, 1541, 174, 12, 41)
(23041, 1831, 1816, 6, 8)
(12274, 1638, 1704, 16, 39)
(19209, 1811, 1765, 6, 43)
(73129, 1433, 1765, 10, 42)
(67548, 1140, 698, 16, 42)
(16430, 870, 718, 10, 2)
(81242, 796, 1446, 4, 16)
(106915, 1539, 1704, 4, 33)
(16482, 28, 96, 8, 26)
(49167, 1539, 1957, 16, 42)
(23903, 1338, 136, 14, 23)
(22204, 153, 1556, 14, 44)
(27644, 251, 718, 12, 16)
(106135, 535, 588, 6, 1)
(28266, 1796, 1793, 8, 12)
(104011, 535, 49, 8, 41)
(67145, 1855, 1809, 14, 46)
(47988, 718, 870, 16, 49)
(19228, 1697, 234, 12, 34)
(27232, 689, 384, 8, 5)
(104072, 1937, 1796, 4, 9)
(67522, 1991, 1157, 8, 31)
(79535, 534, 1319, 14, 17)
(16547, 796, 859, 16, 25)
(93097, 1289, 1833, 12, 21)
(48932, 658, 1765, 8, 12)
(102909, 136, 788, 8, 35)
(83331, 1366, 339, 14, 6)
(80405, 1638, 1704, 6, 34)
(24881, 1539, 1957, 4, 25)
(54136, 678, 1070, 12, 21)
(36896, 1543, 1260, 10, 2)
(93509, 229, 327, 6, 19)
(17097, 1338, 136, 8, 18)
(33781, 1796, 1502, 12, 29)
(90202, 96, 1704, 16, 17)
(32895, 1545, 49, 10, 37)
(98082, 181, 859, 6, 29)
(105841, 1229, 1761, 8, 16)
(12132, 28, 1227, 4, 43)
(58344, 224, 1833, 4, 46)
(92917, 599, 1334, 16, 35)
(49921, 759, 1334, 4, 19)
(105540, 1846, 759, 4, 31)
(58364, 665, 7, 16, 22)
