#(id,roadId,roadId,roadId,roadId)
(1121, 5349, 6335, 6284, 6313)
(1140, 6433, 6297, 6244, -1)
(1157, 5024, 6527, 6587, -1)
(1177, 6051, 6416, -1, 5331)
(1186, 6940, 5963, 6611, 6485)
(1197, 6394, 6987, 6581, 5700)
(1214, 6259, 6971, 6016, -1)
(1217, 6662, 6471, 6357, 5875)
(1227, 5473, 5857, -1, 5215)
(1229, 6933, 5882, 6238, -1)
(1230, 5871, 5706, 5177, 5579)
(1260, 5194, 5738, 5024, -1)
(1269, 6022, -1, 6182, 6297)
(1273, 6176, 6811, 5953, -1)
(1289, 5367, 6260, -1, 5761)
(1293, 5227, 5189, 5179, 5077)
(1295, 6072, -1, 6727, 5710)
(1299, 6329, 5725, 5036, 6930)
(1314, 5913, 5358, 5177, -1)
(1315, 5976, 6949, 6944, 6009)
(1318, 6329, -1, 5630, 6785)
(1319, 5371, -1, -1, 5059)
(1331, 5432, 5360, -1, 6697)
(1334, 5270, 5592, -1, 5778)
(1338, 6690, 6600, 5988, 6047)
(1352, 6384, 5523, 6746, 5910)
(1366, -1, 5146, 5996, 6573)
(1433, 5657, -1, 5084, 6522)
(1439, 6987, 6511, 5130, 5196)
(1446, -1, 6709, 6162, 6191)
(1456, -1, 5409, 6600, 5935)
(1459, 5179, 5150, 6641, 5031)
(1495, 5684, 5589, 5598, -1)
(1502, 6225, 5913, 5164, -1)
(1538, 5354, 5436, 5903, 5938)
(1539, 6670, 6522, 5817, 5656)
(1541, 5461, 5073, 6000, 6581)
(1543, -1, -1, 5436, 5256)
(1545, 5508, 6582, -1, 5875)
(1547, 5950, 6040, 5544, 5329)
(1556, 6276, 5798, -1, 6802)
(1561, 6384, 5612, 5461, 5196)
(1570, -1, -1, 5293, 5910)
(1586, 6592, -1, 5204, 6971)
(1592, 5564, 6853, -1, 6678)
(1626, 6145, 5618, 5163, -1)
(1628, 5169, 5825, 6897, 5377)
(1638, 5594, 6655, 5988, 6014)
(1678, -1, 5860, 6482, 5903)
(1686, 6201, 6090, 5624, -1)
(1687, 6162, 6051, 5982, 5738)
(1689, 5407, 5712, 6933, -1)
(1697, 5289, 6534, 5654, 5331)
(1704, 6473, 5282, 5761, -1)
(1721, 6785, 5292, -1, 5258)
(1761, 5340, 6145, -1, 6592)
(1765, 5453, 6125, -1, 5337)
(1766, -1, 6410, 6511, 5257)
(1767, 6391, 6816, 5073, -1)
(1793, 5432, -1, 5282, 6792)
(1795, -1, 6332, 6640, 5943)
(1796, 6481, 6176, -1, 5159)
(1803, 5603, 5845, 5189, 5579)
(1809, 5015, 5870, 5215, 5718)
(1811, 6187, 6611, 6678, 5657)
(1816, 5627, 5367, -1, 6303)
(1831, 5656, 5329, -1, 6332)
(1833, 5152, 6519, 5680, 5375)
(1837, 6697, 5706, 5598, 6303)
(1846, 5522, 6655, 6255, 6811)
(1855, 5627, 5589, 6376, 6943)
(1876, 6519, 5159, -1, 5714)
(1937, 6313, 6727, 5150, 5845)
(1949, 6433, 5074, 5320, 6532)
(1951, -1, 5754, 6661, -1)
(1953, 5407, -1, 5798, 6949)
(1957, -1, 6571, 6473, -1)
(1991, 5523, 5130, 6124, 6975)
